user_id,date,actions_performed,time_spent_minutes,documents_created,logins
user_1,2023-06-27,6,9.913891006824828,1,0
user_1,2023-08-17,1,42.932974091850404,2,3
user_1,2023-07-22,3,7.752781893807734,1,0
user_1,2023-06-22,2,9.41801413536942,0,2
user_1,2023-07-29,12,20.124456733709476,2,1
user_1,2023-07-19,5,11.467805022154739,0,0
user_1,2023-07-23,7,8.717655890219543,2,0
user_1,2023-06-07,3,48.9579577254744,1,1
user_1,2023-07-04,3,18.298758620101655,1,1
user_1,2023-07-20,8,57.330706867827,0,3
user_1,2023-06-02,5,37.22445630181064,1,0
user_1,2023-08-08,8,19.71938341252926,0,2
user_1,2023-08-24,3,9.901983726516455,1,1
user_1,2023-07-18,2,5.125060997661405,4,2
user_1,2023-08-09,8,19.611620624414353,1,2
user_1,2023-08-12,5,49.89723244525793,0,0
user_1,2023-08-19,0,15.758377092772445,1,2
user_1,2023-08-22,6,6.635361428626966,4,0
user_1,2023-08-03,10,2.336917400304853,1,0
user_1,2023-07-12,5,33.1343347401821,1,3
user_1,2023-06-17,5,17.815726212909926,1,1
user_1,2023-06-29,3,7.184150009616088,2,2
user_1,2023-06-09,5,13.43136443801064,1,2
user_1,2023-06-05,4,11.60856280463207,2,0
user_1,2023-07-21,4,24.6177855418594,1,2
user_1,2023-07-16,7,4.5598289393093765,0,1
user_1,2023-06-30,3,9.405278590884086,2,2
user_1,2023-06-04,5,9.559139396975183,1,2
user_1,2023-08-10,6,10.359300808531291,0,4
user_1,2023-06-26,5,13.967283536112296,0,2
user_1,2023-07-25,9,19.829457742822733,1,3
user_1,2023-08-07,4,9.02690180353509,0,1
user_1,2023-06-28,7,15.85035390144061,2,0
user_1,2023-06-24,7,4.6474631525344,1,1
user_1,2023-07-10,3,31.418343865937178,1,2
user_1,2023-06-08,5,7.4134092812625525,0,1
user_1,2023-07-13,8,5.284811563281597,2,1
user_1,2023-08-04,6,18.6127177430668,0,1
user_1,2023-06-10,7,39.35806230575999,3,1
user_1,2023-06-12,5,27.238506232265376,0,1
user_1,2023-07-27,4,41.03188270292482,1,1
user_1,2023-06-23,9,0.4483728147304268,1,2
user_1,2023-07-30,3,77.72544875935259,1,0
user_1,2023-08-15,2,9.601433613081497,0,2
user_1,2023-08-16,3,7.139175996598061,1,3
user_1,2023-07-01,6,13.361167528340543,0,0
user_1,2023-06-15,5,17.944388788583076,1,1
user_1,2023-06-14,5,3.834294552259868,2,0
user_1,2023-07-11,3,24.101846054241967,0,0
user_1,2023-08-14,0,14.207439538002944,0,2
user_2,2023-06-25,5,11.51448341342637,0,0
user_2,2023-06-08,4,35.85528841124253,1,2
user_2,2023-07-17,3,22.87047824293406,2,0
user_2,2023-06-22,7,20.009216015301803,0,0
user_2,2023-07-07,2,12.329577215685488,0,2
user_2,2023-07-05,1,16.969380946924865,1,1
user_2,2023-08-19,6,57.018317134003034,3,4
user_2,2023-08-04,2,12.173418680161227,0,0
user_2,2023-07-31,5,11.294499294334026,1,2
user_2,2023-08-12,7,34.755958657101644,3,1
user_2,2023-06-26,4,13.962804536142349,2,1
user_2,2023-08-23,4,5.390194087254895,0,1
user_2,2023-07-22,4,4.636567680962695,0,2
user_2,2023-07-25,7,12.329986860273532,1,3
user_2,2023-06-01,6,48.593436339356245,1,0
user_2,2023-06-11,4,39.154921745515104,0,1
user_2,2023-06-28,2,50.10588547029326,0,0
user_2,2023-08-13,5,45.44089943506842,2,0
user_2,2023-06-21,8,10.848886613583058,0,0
user_2,2023-06-20,3,17.244402277538853,0,2
user_2,2023-06-04,2,3.6220224392292186,0,1
user_2,2023-08-07,4,24.04731483008628,1,0
user_2,2023-06-15,5,26.871746614494736,1,4
user_2,2023-08-29,5,10.844543922349668,2,0
user_2,2023-06-09,7,12.87223329365007,1,2
user_2,2023-07-24,5,32.148931358434105,0,2
user_2,2023-08-03,6,3.234437845515519,1,2
user_2,2023-08-17,6,18.972763097344068,1,0
user_2,2023-08-18,6,9.019266020836763,2,2
user_2,2023-06-16,5,45.97379693622497,1,0
user_2,2023-06-03,0,20.0703827145527,2,0
user_2,2023-08-05,10,65.87154656769201,0,0
user_2,2023-06-24,5,24.970659144845172,1,0
user_2,2023-07-04,6,5.541055168897905,2,2
user_2,2023-07-19,6,23.882097316667817,1,2
user_2,2023-06-17,2,32.49487212913693,0,2
user_2,2023-08-24,5,3.568426958799853,0,0
user_2,2023-07-14,5,2.475476340496078,1,1
user_2,2023-08-09,6,13.18721482540312,1,0
user_2,2023-07-16,8,11.936632860265275,1,1
user_2,2023-07-20,5,11.667030579077029,2,1
user_2,2023-06-12,8,10.586028290024439,1,0
user_2,2023-06-29,7,17.307998109719524,1,0
user_2,2023-08-11,5,13.862223526124101,0,1
user_2,2023-06-14,5,10.12500210757613,3,1
user_2,2023-06-02,5,10.937521878901652,1,2
user_2,2023-07-06,5,15.136545426439561,1,0
user_3,2023-08-17,5,11.656383300323967,2,0
user_3,2023-06-30,1,8.091380867160433,1,0
user_3,2023-07-24,4,19.408574229295482,1,1
user_3,2023-06-25,6,14.840038072764493,0,2
user_3,2023-08-13,4,12.390312965231718,1,2
user_3,2023-08-25,4,19.473621504306088,2,0
user_3,2023-07-20,9,5.4474337777301205,2,3
user_3,2023-06-04,5,9.361198659556146,1,0
user_3,2023-07-23,1,26.929997003522857,1,2
user_3,2023-06-03,3,74.69204198634299,0,0
user_3,2023-06-12,7,12.663597298682973,0,1
user_3,2023-08-15,5,23.268918754207522,0,4
user_3,2023-06-14,6,6.239105205714505,2,1
user_3,2023-08-18,7,13.371148156522727,1,0
user_3,2023-06-18,1,6.808051154267126,0,2
user_3,2023-08-12,5,34.29303077730463,0,1
user_3,2023-07-16,5,59.10930641301934,2,1
user_3,2023-07-10,6,8.138677335721688,2,1
user_3,2023-06-16,6,14.63569957099526,0,0
user_3,2023-08-06,6,16.199458110671316,2,0
user_3,2023-06-06,6,7.632085374391577,0,1
user_3,2023-08-11,3,18.19403746399265,0,0
user_3,2023-07-17,4,5.844960183347102,1,1
user_3,2023-08-20,6,24.581159398036384,2,3
user_3,2023-06-27,6,7.8319764717127,0,0
user_3,2023-07-09,5,21.814361209598726,0,4
user_3,2023-06-26,5,20.01395345310142,2,1
